id,productType,source,name,brand,brandName,brandCode,slug,depositAmount,activityLevel,reviewsRating,reviewsTotal,reviewsSource,lowestOptionRoomType,lowestOptionPrice,lowestOptionFullPrice,fkSeasonId,fkTourOptionId,created_at,updated_at
tour-956da685-0a55-4591-a9d9-b70c13742290,connection_tour,ttc,Britain & Ireland Discovery,insightvacations,Insight Vacations,insightvacations,britain-and-ireland-discovery,500.0,,0.0,0,luxuryescapes,twin,7108.2,7898.0,5e130d40-b048-4503-b676-e05bc30135a4,2d28261c-717f-4097-bfe4-a494831f118b,2023-09-25 11:50:26,2023-09-25 11:50:26
tour-958078d1-8dd2-4bf1-80f8-d1723fe8a3dc,connection_tour,ttc,Irish Highlights,trafalgar,Trafalgar,trafalgar,irish-highlights,500.0,moderate,10.0,2,le_tour_operator,twin,1282.5,1425.0,9e12413c-598e-4634-87d9-d1ddf757d6c9,82106c49-7dd9-4365-922b-10c146b15378,2023-09-25 11:50:21,2023-09-25 11:50:21
tour-95e4832a-4d8c-4f59-9600-d10621240b49,connection_tour,ttc,Jewels of Alaska,insightvacations,Insight Vacations,insightvacations,jewels-of-alaska,500.0,moderate,0.0,0,luxuryescapes,twin,4495.0,4495.0,096de7f9-1ed9-489e-a524-8c017d805ffa,db39ea4f-f340-412c-a879-0db7efbeb426,2023-09-25 11:50:26,2023-09-25 11:50:26
tour-972dca16-68a2-4bda-b0a1-76dd58d2ad49,partner_tour,salesforce,"Tasman Peninsula 2024: Three Capes Small-Group Walking Tour with Fortescue Bay, Cape Raoul & Wilderness Cruise ",letrustedpartnertours,Luxury Escapes Trusted Partner Tours,letrustedpartnertours,tasman-peninsula-2024-three-capes-small-group-walking-tour-with-fortescue-bay-cape-raoul-and-wilderness-cruise,0.0,active,7.0,4,le_tour_operator,twin,1559.4,1559.4,85fff978-cc5b-44b0-97e9-4f7933fec4b4,64d13606-7eb9-4c1e-9bda-3a1574610692,2023-09-25 11:50:19,2023-09-25 11:50:19
tour-976522ef-f15e-41ed-8743-ee570c72ab3e,connection_tour,ttc,Great Italian Cities,trafalgar,Trafalgar,trafalgar,great-italian-cities,500.0,,10.0,2,le_tour_operator,twin,2047.5,2275.0,46a42698-1bd1-40c6-a62f-37fc43c59777,34d47ea4-f2b1-40fa-9c25-8c75e6366230,2023-09-25 11:50:21,2023-09-25 11:50:21
tour-97e062b3-76a9-4a8f-a4ee-523bcb4bebcb,direct_tour,salesforce,"Egypt & Jordan 2024 Small-Group Tour with Wadi Rum Desert Camp, Nile River Cruise & Internal Flights",luxuryescapes,Luxury Escapes Tours,luxuryescapes,egypt-and-jordan-2024-small-group-tour-with-wadi-rum-desert-camp-nile-river-cruise-and-internal-flights,0.2,moderate,8.5,2,le_tour_operator,twin,3599.4,3599.4,aa0623fc-b54c-457b-8f83-42107eb01345,eb0b80c3-2862-4d68-a0a5-ada65ecf90b3,2023-09-25 11:50:19,2023-09-25 11:50:19
tour-9812ee60-9524-492b-817d-8d9f3a1508b4,connection_tour,ttc,Highlights of Spain and Portugal,trafalgar,Trafalgar,trafalgar,highlights-of-spain-and-portugal,500.0,,10.0,2,le_tour_operator,twin,2259.9,2511.0,ab7182d4-34ec-49bb-9d13-a492b39fbfe0,e90cc831-6f6b-4b33-9414-67e12813e33c,2023-09-25 11:50:26,2023-09-25 11:50:26
tour-981b2716-6129-4a4c-9f21-42f22462d68f,connection_tour,ttc,Flavours of Europe,insightvacations,Insight Vacations,insightvacations,flavours-of-europe,500.0,,0.0,0,luxuryescapes,twin,3965.0,3965.0,3e516284-2121-48cb-96b5-75d08f5b167c,52bf251e-a188-4879-92e3-a1133d24489f,2023-09-25 11:50:22,2023-09-25 11:50:22
tour-9accd1ea-a9b2-45e9-9f8f-6fbac6c9ec9f,connection_tour,ttc,Best of Chile from Atacama to Patagonia,insightvacations,Insight Vacations,insightvacations,best-of-chile-from-atacama-to-patagonia,500.0,active,0.0,0,luxuryescapes,twin,8425.0,8425.0,8ab9d649-108d-4fa4-afa8-5d9682041710,34e8c7d5-c86c-49ca-a0a0-0f3eb5cba401,2023-09-25 11:50:24,2023-09-25 11:50:24
tour-9b00e908-7454-4a09-973e-882167294007,connection_tour,ttc,Imperial Rajasthan,luxurygold,Luxury Gold,luxurygold,imperial-rajasthan,500.0,,0.0,0,luxuryescapes,twin,4902.0,4902.0,7a6e9e21-d5bc-47e9-96bb-02c383d9e3ab,3021fbf0-bd40-4131-a437-e4da2b1c14df,2023-09-25 11:50:21,2023-09-25 11:50:21
tour-9c8cdcbb-a92d-493c-82fa-6e7a16e3fee4,partner_tour,salesforce,"Italy & Greece 2024 Small-Group Tour with Chianti Tasting, Pizza-Making Class, Amalfi Coast Sailing & Greek Islands Cruise",letrustedpartnertours,Luxury Escapes Trusted Partner Tours,letrustedpartnertours,italy-and-greece-2024-small-group-tour-with-chianti-tasting-pizza-making-class-amalfi-coast-sailing-and-greek-islands-cruise,0.0,moderate,7.0,4,le_tour_operator,twin,5039.4,5039.4,86ab02be-f2b9-42ea-979d-5660f12e25ac,0723853e-88c2-43c1-9f04-1f876711de80,2023-09-25 11:50:19,2023-09-25 11:50:19
tour-9df7da87-e7cd-4e61-827f-b8a181c25b40,connection_tour,ttc,Hawaii Four Island Adventure,trafalgar,Trafalgar,trafalgar,hawaii-four-island-adventure,500.0,,10.0,2,le_tour_operator,twin,4681.0,5158.0,8310ec28-c32b-41d5-9abc-6a62f92cd203,40abae6f-c370-4bcd-b8b9-bffe62823f51,2023-09-25 11:50:25,2023-09-25 11:50:25
